"R2-337;ENERGY BY COGEN SL-UNIPERSONAL-;C/ VALLE DEL MORO, Nº13;28660;BOADILLA DEL MONTE;Madrid;900 103 585;N;B85634350;;;www.cogen-energia.com;"
"R2-338;DISTRIBUIDORA ELÈCTRICA D'ALBATÀRREC S.L;PLAZA SANT SALVADOR 19;25171;ALBATERREC;Lérida;900 720 013;N;B25467887;;01/04/2018;;Baja"
"R2-339;ORUS ENERGÍA, S.L.;CAMÍ DE LA PELLERÍA, 44. POLIGONO INDUSTRIAL BONAVISTA;08915;BADALONA;Barcelona;;P, SB, GC, TF, FL, PA, LG, HI;B64885064;;18/03/2013;;Baja"
"R2-340;ELÈCTRICA SALÀS DE PALLARS, SLU;C/ BON JESÚS, 47;25693;SALAS DE PALLARS;Lérida;900 102 617;N;B25672692;;01/09/2017;salas.ddl.net;Baja"
"R2-341;CATENERIBAS SLU;SANT VALENTÍ 144;08221;TERRASSA;Barcelona;900 103 118;N;B64376395;;31/12/2016;;Baja"
"R2-342;ESTABANELL Y PAHISA ENERGÍA, S.A. UNIPERSONAL;C/ REC, Nº26-28;08400;GRANOLLERS;Barcelona;900 250 260;N;A61121752;;01/10/2016;www.estabanell.com;Baja"
"R2-343;MUNICIPAL DE SERVICIOS VILLAHERMOSANA, S.L;C/ OLMOS 1;12124;VILLAHERMOSA DEL RIO;Castellón;900 834 923;N;B12820155;;;;"
"R2-345;ENERGIAS DE LA VILLA DE CAMPO, S.L;PLAZA CABOVILA 1;22450;CAMPO;Huesca;900 101 533;N;B22280259;;14/05/2020;www.campo.es;Baja"
"R2-346;COMERCIALIZADORA ENERGÉTICA MEDITERRÁNEA, S.L.;C/ PADRE CLARET Nº16;28002;MADRID;Madrid;;N;B27728781;;19/01/2014;;Baja"
"R2-347;SOCIETAT MUNICIPAL DE DISTRIBUCIO ELECTRICA DE LLAVORSI,SL;CARRETERA DE LA VALL D'ARAN, 55;25595;LLAVORSI;Lérida;900 103 248;N;B25479346;;01/12/2016;www.llavorsi.cat;Baja"
"R2-348;ELECTRICA DEL EBRO SA;C/ OSCA S/N;43895;L'AMPOLLA;Tarragona;900 46 00 40;N;A08049306;;01/10/2016;www.electricadelebro.com;Baja"
"R2-349;TALARN DISTRIBUCIÓ MUNICIPAL ELÉCTRICA,SL;C/ PAU COLL, 3;25630;TALARN;Lérida;900 102 806;N;B25616970;;01/09/2017;;Baja"
"R2-350;DISTRIBUIDORA ELECTRICA DE CATOIRA SA;C/ GONDAR, 5;36612;CATOIRA;Pontevedra;900 37 36 85;N;A36021962;;;;"
"R2-351;EMPRESA MUNICIPAL DE DISTRIBUCIÓ D'ENERGIA ELÈCTRICA D'ALMENAR, SLU;PLAZA DE LA VILA 10;25126;ALMENAR;Lérida;900 730 010;N;B25470766;;21/12/2018;;Baja"
"R2-352;ELECTRICA DEL MONTSEC SL;PLAZA MAYOR, 5;25691;AGER;Lérida;900 373 975;N;B25267220;;;;"
"R2-353;ELECTRICA ANTONIO MADRID, SL;C/ D'ANGLADA, S/N;25550;BOSSOST;Lérida;900 102 663;N;B25389354;;;;"
"R2-354;COMPAÑÍA DE ELECTRIFICACION S.L;PLAZA DOCTOR CARÚS 7, 1º C;36600;VILLAGARCÍA DE AROSA;Pontevedra;900 102 196;N;B36000917;;08/07/2016;www.ciadeelectrificacion.com;Baja"
"R2-355;EMPRESA MUNICIPAL ENERGIA ELECTRICA TORRES DE SEGRE SL;PLAZA ESGLESIA S/N;25170;TORRES DE SEGRE;Lérida;900 83 49 85;N;B25460494;;30/04/2017;;Baja"
"R2-356;COMERCIALIZADORA REGULADA, GAS & POWER, S.A.;AVDA. SAN LUIS, 77;28033;MADRID;Madrid;900 100 502;N;A65067332;20/10/2009;;www.comercializadoraregulada.es;"
"R2-357;GAZPROM MARKETING & TRADING LIMITED;Triton Street 20, Londres, NW1 3BF;;LONDRES (REINO UNIDO);Extranjero;;P;GB927405129;20/03/2013;;www.gazprom-mt.com;"
