ES3144;95980020140005977802;"Caja Rural de Villamalea, S. Coop. de Crédito Agrario de Castilla-La Mancha";Entidad de crédito;"Pz de la Concepción, 1, 02270, Villamalea (Albacete)";No;;"3144"
ES3152;635400TVFCZ8KWG6YZ06;"Caja Rural de Villar, Coop. de Crédito V.";Entidad de crédito;"Cl las Cruces 33, 46170, Villar del Arzobispo (Valencia)";No;;"3152"
ES3085;95980020140005219844;"Caja Rural de Zamora, Cooperativa de Crédito";Entidad de crédito;"Av Alfonso IX 7, 49014, Zamora";Sí;;"3085"
ES3187;95980020140005375335;"Caja Rural del Sur, S. Coop. de Crédito";Entidad de crédito;"Cl Murillo 2, 41001, Sevilla";Sí;;"3187"
ES3157;635400JGUDBXA9SJAT89;"Caja Rural La Junquera de Chilches, S. Coop. de Crédito V.";Entidad de crédito;"Pz de España, 8, 12592, Chilches (Castellón)";No;;"3157"
ES3134;95980020140005523939;"Caja Rural Nuestra Señora de la Esperanza de Onda, S. Coop. de Crédito V.";Entidad de crédito;"Pz El Plá, 19, 12200, Onda  (Castellón)";No;;"3134"
ES3018;95980020140005220038;"Caja Rural Regional San Agustín Fuente Álamo Murcia, Sociedad Cooperativa de Crédito";Entidad de crédito;"Gran Vía, 1, 30320, Fuente Álamo (Murcia)";No;;"3018"
ES3165;635400GCLK5ZHSHH5B80;"Caja Rural San Isidro de Vilafames S. Coop. de Crédito V.";Entidad de crédito;"Av de Barceló, 6, 12192, Vilafames (Castellón)";No;;"3165"
ES3119;635400PG53OKXYYLRB68;"Caja Rural San Jaime de Alquerías Niño Perdido S. Coop. de Crédito V.";Entidad de crédito;"Cl Jaime Chicharro 24, 12539, Alquerías Niño Perdido (Castellón)";No;;"3119"
ES3113;95980020140005485430;"Caja Rural San José de Alcora S. Coop. de Crédito V.";Entidad de crédito;"Cl San Francisco, 14, 12110, Alcora (Castellón)";No;;"3113"
ES3130;95980020140005486594;"Caja Rural San José de Almassora, S. Coop. de Crédito V.";Entidad de crédito;"Cl Trinidad, 20, 12550, Almassora (Castellón)";No;;"3130"
ES3112;635400QRDROC5REDLP11;"Caja Rural San José de Burriana, S. Coop. de Crédito V.";Entidad de crédito;"Pz El Pla, 1, 12530, Burriana (Castellón)";No;;"3112"
ES3135;635400T6AXCIH7EOTO46;"Caja Rural San José de Nules S. Coop. de Crédito V.";Entidad de crédito;"Cl Mayor, 66, 12520, Nules (Castellón)";No;;"3135"
ES3095;635400LATQHBDJVK2O07;"Caja Rural San Roque de Almenara S. Coop. de Crédito  V.";Entidad de crédito;"Cl Dr. Berenguer, 4, 12590, Almenara (Castellón)";No;;"3095"
ES3058;635400CE9HHFB55PEY43;"Cajamar Caja Rural, Sociedad Cooperativa de Crédito";Entidad de crédito;"Pz Barcelona, 5, 04006, Almería";Sí;;"3058"
ES3076;95980020140005485333;"Cajasiete, Caja Rural, Sociedad Cooperativa de Crédito";Entidad de crédito;"Av Manuel Hermoso Rojas, 8, 38003, Santa Cruz de Tenerife";Sí;;"3076"
ES0237;95980020140005488243;"Cajasur Banco, S.A.";Entidad de crédito;"Ronda de los Tejares, 18-24, 14001, Córdoba";Sí;;"0237"
ES4706;5493004NQTR1T23T4Z68;"Caterpillar Financial Corporación Financiera, S.A., E.F.C.";Otra institución;"Vía de las Dos Castillas, 33, 28224, Pozuelo de Alarcón (Madrid)";No;;"4706"
ES2000;549300CQ9NLEHMRCU505;"Cecabank, S.A.";Entidad de crédito;"Cl Alcalá,27, 28014, Madrid";Sí;;"2000"
ES1553;;"China Construction Bank (Europe), S.A., Sucursal en España";Entidad de crédito;"Av. Diagonal, 640, 08017, Barcelona";No;LUB00375;"1553"
ES1474;;"Citibank Europe Plc, Sucursal en España";Entidad de crédito;"Cl Ortega y Gasset 29, 28006, Madrid";Sí;IECITIFS;"1474"
